'Time and date','II ','MCL1 ','V ','ABP ','RESP '
'[14:18:18.776 18/05/1995]',0.083,0.088,0.030,55.092,-0.356
'[14:18:18.778 18/05/1995]',0.103,0.105,0.030,55.092,-0.356
'[14:18:18.780 18/05/1995]',0.124,0.123,0.030,55.092,-0.356
'[14:18:18.782 18/05/1995]',0.165,0.131,0.020,55.092,-0.356
'[14:18:18.784 18/05/1995]',0.185,0.140,0.020,54.941,-0.365
'[14:18:18.786 18/05/1995]',0.185,0.149,0.020,54.941,-0.365
'[14:18:18.788 18/05/1995]',0.185,0.149,0.030,54.941,-0.365
'[14:18:18.790 18/05/1995]',0.185,0.149,0.040,54.941,-0.365
'[14:18:18.792 18/05/1995]',0.185,0.157,0.040,54.891,-0.374
'[14:18:18.794 18/05/1995]',0.185,0.157,0.040,54.891,-0.374
'[14:18:18.796 18/05/1995]',0.185,0.157,0.030,54.891,-0.374
'[14:18:18.798 18/05/1995]',0.206,0.157,0.030,54.891,-0.374
'[14:18:18.800 18/05/1995]',0.206,0.166,0.040,54.841,-0.382
'[14:18:18.802 18/05/1995]',0.206,0.166,0.030,54.841,-0.382
'[14:18:18.804 18/05/1995]',0.206,0.166,0.040,54.841,-0.382
'[14:18:18.806 18/05/1995]',0.206,0.157,0.040,54.841,-0.382
'[14:18:18.808 18/05/1995]',0.206,0.157,0.040,54.691,-0.390
'[14:18:18.810 18/05/1995]',0.206,0.157,0.030,54.691,-0.390
'[14:18:18.812 18/05/1995]',0.206,0.157,0.030,54.691,-0.390
'[14:18:18.814 18/05/1995]',0.226,0.166,0.020,54.691,-0.390
'[14:18:18.816 18/05/1995]',0.226,0.175,0.020,54.641,-0.398
'[14:18:18.818 18/05/1995]',0.247,0.175,0.020,54.641,-0.398
'[14:18:18.820 18/05/1995]',0.247,0.175,0.030,54.641,-0.398
'[14:18:18.822 18/05/1995]',0.247,0.175,0.030,54.641,-0.398
'[14:18:18.824 18/05/1995]',0.247,0.175,0.030,54.591,-0.406
'[14:18:18.826 18/05/1995]',0.247,0.175,0.040,54.591,-0.406
'[14:18:18.828 18/05/1995]',0.247,0.166,0.030,54.591,-0.406
'[14:18:18.830 18/05/1995]',0.267,0.175,0.030,54.591,-0.406
'[14:18:18.832 18/05/1995]',0.267,0.175,0.020,54.691,-0.415
'[14:18:18.834 18/05/1995]',0.267,0.184,0.020,54.691,-0.415
'[14:18:18.836 18/05/1995]',0.267,0.184,0.020,54.691,-0.415
'[14:18:18.838 18/05/1995]',0.267,0.175,0.030,54.691,-0.415
'[14:18:18.840 18/05/1995]',0.247,0.184,0.040,54.941,-0.424
'[14:18:18.842 18/05/1995]',0.247,0.175,0.040,54.941,-0.424
'[14:18:18.844 18/05/1995]',0.247,0.175,0.040,54.941,-0.424
'[14:18:18.846 18/05/1995]',0.267,0.175,0.020,54.941,-0.424
'[14:18:18.848 18/05/1995]',0.267,0.175,0.020,55.542,-0.432
'[14:18:18.850 18/05/1995]',0.287,0.184,0.020,55.542,-0.432
'[14:18:18.852 18/05/1995]',0.287,0.184,0.020,55.542,-0.432
'[14:18:18.854 18/05/1995]',0.267,0.175,0.020,55.542,-0.432
'[14:18:18.856 18/05/1995]',0.267,0.166,0.030,56.795,-0.441
'[14:18:18.858 18/05/1995]',0.267,0.175,0.030,56.795,-0.441
'[14:18:18.860 18/05/1995]',0.267,0.175,0.030,56.795,-0.441
'[14:18:18.862 18/05/1995]',0.267,0.175,0.030,56.795,-0.441
'[14:18:18.864 18/05/1995]',0.267,0.175,0.020,58.698,-0.450
'[14:18:18.866 18/05/1995]',0.267,0.184,0.020,58.698,-0.450
'[14:18:18.868 18/05/1995]',0.287,0.175,0.020,58.698,-0.450
'[14:18:18.870 18/05/1995]',0.267,0.175,0.020,58.698,-0.450
'[14:18:18.872 18/05/1995]',0.267,0.166,0.030,61.603,-0.458
'[14:18:18.874 18/05/1995]',0.267,0.166,0.030,61.603,-0.458
'[14:18:18.876 18/05/1995]',0.267,0.166,0.030,61.603,-0.458
'[14:18:18.878 18/05/1995]',0.267,0.166,0.030,61.603,-0.458
'[14:18:18.880 18/05/1995]',0.267,0.166,0.020,65.359,-0.465
'[14:18:18.882 18/05/1995]',0.287,0.175,0.020,65.359,-0.465
'[14:18:18.884 18/05/1995]',0.287,0.184,0.020,65.359,-0.465
'[14:18:18.886 18/05/1995]',0.287,0.184,0.020,65.359,-0.465
'[14:18:18.888 18/05/1995]',0.287,0.184,0.020,69.966,-0.471
'[14:18:18.890 18/05/1995]',0.287,0.175,0.030,69.966,-0.471
'[14:18:18.892 18/05/1995]',0.267,0.166,0.030,69.966,-0.471
'[14:18:18.894 18/05/1995]',0.267,0.157,0.020,69.966,-0.471
'[14:18:18.896 18/05/1995]',0.287,0.166,0.010,75.275,-0.477
'[14:18:18.898 18/05/1995]',0.287,0.157,0.010,75.275,-0.477
'[14:18:18.900 18/05/1995]',0.287,0.166,0.010,75.275,-0.477
'[14:18:18.902 18/05/1995]',0.267,0.166,0.010,75.275,-0.477
'[14:18:18.904 18/05/1995]',0.267,0.166,0.020,80.885,-0.483
'[14:18:18.906 18/05/1995]',0.267,0.157,0.020,80.885,-0.483
'[14:18:18.908 18/05/1995]',0.247,0.149,0.020,80.885,-0.483
'[14:18:18.910 18/05/1995]',0.247,0.149,0.020,80.885,-0.483
'[14:18:18.912 18/05/1995]',0.267,0.149,0.010,86.694,-0.488
'[14:18:18.914 18/05/1995]',0.267,0.157,0.010,86.694,-0.488
'[14:18:18.916 18/05/1995]',0.267,0.149,0.001,86.694,-0.488
'[14:18:18.918 18/05/1995]',0.267,0.149,0.001,86.694,-0.488
'[14:18:18.920 18/05/1995]',0.267,0.140,0.010,92.254,-0.492
'[14:18:18.922 18/05/1995]',0.247,0.131,0.010,92.254,-0.492
'[14:18:18.924 18/05/1995]',0.226,0.131,0.020,92.254,-0.492
'[14:18:18.926 18/05/1995]',0.226,0.131,0.020,92.254,-0.492
'[14:18:18.928 18/05/1995]',0.206,0.131,0.010,97.462,-0.495
'[14:18:18.930 18/05/1995]',0.206,0.131,0.001,97.462,-0.495
'[14:18:18.932 18/05/1995]',0.226,0.131,0.001,97.462,-0.495
'[14:18:18.934 18/05/1995]',0.226,0.131,0.001,97.462,-0.495
'[14:18:18.936 18/05/1995]',0.226,0.131,0.001,101.870,-0.499
'[14:18:18.938 18/05/1995]',0.226,0.131,0.001,101.870,-0.499
'[14:18:18.940 18/05/1995]',0.206,0.123,0.010,101.870,-0.499
'[14:18:18.942 18/05/1995]',0.185,0.123,0.010,101.870,-0.499
'[14:18:18.944 18/05/1995]',0.165,0.114,0.010,105.426,-0.503
'[14:18:18.946 18/05/1995]',0.165,0.105,0.001,105.426,-0.503
'[14:18:18.948 18/05/1995]',0.185,0.105,0.001,105.426,-0.503
'[14:18:18.950 18/05/1995]',0.165,0.105,0.001,105.426,-0.503
'[14:18:18.952 18/05/1995]',0.185,0.105,0.001,108.030,-0.507
'[14:18:18.954 18/05/1995]',0.165,0.105,0.001,108.030,-0.507
'[14:18:18.956 18/05/1995]',0.165,0.088,0.001,108.030,-0.507
'[14:18:18.958 18/05/1995]',0.165,0.079,0.001,108.030,-0.507
'[14:18:18.960 18/05/1995]',0.144,0.088,0.010,109.532,-0.511
'[14:18:18.962 18/05/1995]',0.144,0.079,0.001,109.532,-0.511
'[14:18:18.964 18/05/1995]',0.144,0.070,0.001,109.532,-0.511
'[14:18:18.966 18/05/1995]',0.124,0.079,0.001,109.532,-0.511
'[14:18:18.968 18/05/1995]',0.103,0.079,0.001,110.183,-0.516
'[14:18:18.970 18/05/1995]',0.103,0.070,0.001,110.183,-0.516
'[14:18:18.972 18/05/1995]',0.103,0.062,0.001,110.183,-0.516
'[14:18:18.974 18/05/1995]',0.083,0.062,0.001,110.183,-0.516
'[14:18:18.976 18/05/1995]',0.083,0.053,0.001,109.933,-0.520
'[14:18:18.978 18/05/1995]',0.062,0.053,0.001,109.933,-0.520
'[14:18:18.980 18/05/1995]',0.083,0.053,0.001,109.933,-0.520
'[14:18:18.982 18/05/1995]',0.083,0.053,0.001,109.933,-0.520
'[14:18:18.984 18/05/1995]',0.083,0.053,0.001,108.831,-0.525
'[14:18:18.986 18/05/1995]',0.062,0.044,0.001,108.831,-0.525
'[14:18:18.988 18/05/1995]',0.062,0.035,0.001,108.831,-0.525
'[14:18:18.990 18/05/1995]',0.062,0.027,0.001,108.831,-0.525
'[14:18:18.992 18/05/1995]',0.042,0.027,0.001,106.928,-0.529
'[14:18:18.994 18/05/1995]',0.042,0.027,0.001,106.928,-0.529
'[14:18:18.996 18/05/1995]',0.042,0.035,0.001,106.928,-0.529
'[14:18:18.998 18/05/1995]',0.042,0.035,0.001,106.928,-0.529
'[14:18:19.000 18/05/1995]',0.042,0.035,0.001,104.424,-0.534
'[14:18:19.002 18/05/1995]',0.042,0.035,0.001,104.424,-0.534
'[14:18:19.004 18/05/1995]',0.042,0.027,0.001,104.424,-0.534
'[14:18:19.006 18/05/1995]',0.021,0.018,0.001,104.424,-0.534
'[14:18:19.008 18/05/1995]',0.021,0.018,0.001,101.369,-0.538
'[14:18:19.010 18/05/1995]',0.021,0.018,0.001,101.369,-0.538
'[14:18:19.012 18/05/1995]',0.021,0.018,0.001,101.369,-0.538
'[14:18:19.014 18/05/1995]',0.021,0.018,0.001,101.369,-0.538
'[14:18:19.016 18/05/1995]',0.021,0.009,0.001,97.863,-0.542
'[14:18:19.018 18/05/1995]',0.021,0.018,0.001,97.863,-0.542
'[14:18:19.020 18/05/1995]',0.002,0.009,0.001,97.863,-0.542
'[14:18:19.022 18/05/1995]',0.002,0.009,0.001,97.863,-0.542
'[14:18:19.024 18/05/1995]',0.021,0.009,0.001,94.107,-0.546
'[14:18:19.026 18/05/1995]',0.021,0.009,0.001,94.107,-0.546
'[14:18:19.028 18/05/1995]',0.002,0.009,0.001,94.107,-0.546
'[14:18:19.030 18/05/1995]',0.021,0.018,0.001,94.107,-0.546
'[14:18:19.032 18/05/1995]',0.021,0.018,0.001,90.300,-0.551
'[14:18:19.034 18/05/1995]',0.002,0.009,0.001,90.300,-0.551
'[14:18:19.036 18/05/1995]',0.002,0.009,0.001,90.300,-0.551
'[14:18:19.038 18/05/1995]',0.002,0.009,0.001,90.300,-0.551
'[14:18:19.040 18/05/1995]',0.002,0.001,0.001,86.644,-0.556
'[14:18:19.042 18/05/1995]',0.002,0.001,0.001,86.644,-0.556
'[14:18:19.044 18/05/1995]',0.002,0.001,0.001,86.644,-0.556
'[14:18:19.046 18/05/1995]',0.002,0.001,0.001,86.644,-0.556
'[14:18:19.048 18/05/1995]',0.002,0.001,0.001,83.239,-0.562
'[14:18:19.050 18/05/1995]',0.021,0.009,0.001,83.239,-0.562
'[14:18:19.052 18/05/1995]',0.021,0.001,0.001,83.239,-0.562
'[14:18:19.054 18/05/1995]',0.002,0.009,0.001,83.239,-0.562
'[14:18:19.056 18/05/1995]',0.002,0.009,0.001,80.234,-0.569
'[14:18:19.058 18/05/1995]',0.002,0.001,0.001,80.234,-0.569
'[14:18:19.060 18/05/1995]',0.002,0.001,0.001,80.234,-0.569
'[14:18:19.062 18/05/1995]',0.002,0.001,0.001,80.234,-0.569
'[14:18:19.064 18/05/1995]',0.002,0.001,0.001,77.629,-0.575
'[14:18:19.066 18/05/1995]',0.002,0.001,0.001,77.629,-0.575
'[14:18:19.068 18/05/1995]',0.002,0.001,-0.009,77.629,-0.575
'[14:18:19.070 18/05/1995]',0.002,0.001,-0.009,77.629,-0.575
'[14:18:19.072 18/05/1995]',0.002,0.001,0.001,75.376,-0.580
'[14:18:19.074 18/05/1995]',0.002,0.009,0.001,75.376,-0.580
'[14:18:19.076 18/05/1995]',0.002,0.001,0.001,75.376,-0.580
'[14:18:19.078 18/05/1995]',0.002,0.001,0.001,75.376,-0.580
'[14:18:19.080 18/05/1995]',0.002,0.001,0.001,73.623,-0.585
'[14:18:19.082 18/05/1995]',0.002,0.001,0.001,73.623,-0.585
'[14:18:19.084 18/05/1995]',0.002,0.001,-0.009,73.623,-0.585
'[14:18:19.086 18/05/1995]',0.002,0.001,0.001,73.623,-0.585
'[14:18:19.088 18/05/1995]',-0.019,0.001,0.001,72.170,-0.590
'[14:18:19.090 18/05/1995]',-0.019,0.001,0.001,72.170,-0.590
'[14:18:19.092 18/05/1995]',-0.019,0.001,0.001,72.170,-0.590
'[14:18:19.094 18/05/1995]',-0.039,-0.008,0.001,72.170,-0.590
'[14:18:19.096 18/05/1995]',-0.039,-0.017,0.001,71.018,-0.594
'[14:18:19.098 18/05/1995]',-0.060,-0.025,0.001,71.018,-0.594
'[14:18:19.100 18/05/1995]',-0.080,-0.034,0.001,71.018,-0.594
'[14:18:19.102 18/05/1995]',-0.100,-0.052,-0.019,71.018,-0.594
'[14:18:19.104 18/05/1995]',-0.121,-0.069,-0.019,70.217,-0.598
'[14:18:19.106 18/05/1995]',-0.162,-0.095,-0.019,70.217,-0.598
'[14:18:19.108 18/05/1995]',-0.182,-0.113,-0.019,70.217,-0.598
'[14:18:19.110 18/05/1995]',-0.203,-0.122,-0.028,70.217,-0.598
'[14:18:19.112 18/05/1995]',-0.244,-0.130,-0.028,69.616,-0.602
'[14:18:19.114 18/05/1995]',-0.264,-0.130,-0.028,69.616,-0.602
'[14:18:19.116 18/05/1995]',-0.264,-0.130,-0.019,69.616,-0.602
'[14:18:19.118 18/05/1995]',-0.304,-0.139,-0.019,69.616,-0.602
'[14:18:19.120 18/05/1995]',-0.325,-0.148,-0.009,69.215,-0.606
'[14:18:19.122 18/05/1995]',-0.386,-0.165,-0.009,69.215,-0.606
'[14:18:19.124 18/05/1995]',-0.447,-0.183,0.001,69.215,-0.606
'[14:18:19.126 18/05/1995]',-0.488,-0.209,0.001,69.215,-0.606
'[14:18:19.128 18/05/1995]',-0.529,-0.244,-0.028,68.915,-0.610
'[14:18:19.130 18/05/1995]',-0.529,-0.270,-0.038,68.915,-0.610
'[14:18:19.132 18/05/1995]',-0.550,-0.305,-0.067,68.915,-0.610
'[14:18:19.134 18/05/1995]',-0.550,-0.322,-0.077,68.915,-0.610
'[14:18:19.136 18/05/1995]',-0.550,-0.340,-0.077,68.764,-0.614
'[14:18:19.138 18/05/1995]',-0.570,-0.348,-0.077,68.764,-0.614
'[14:18:19.140 18/05/1995]',-0.590,-0.366,-0.077,68.764,-0.614
'[14:18:19.142 18/05/1995]',-0.610,-0.366,-0.067,68.764,-0.614
'[14:18:19.144 18/05/1995]',-0.651,-0.383,-0.067,68.664,-0.619
'[14:18:19.146 18/05/1995]',-0.651,-0.383,-0.058,68.664,-0.619
'[14:18:19.148 18/05/1995]',-0.672,-0.383,-0.058,68.664,-0.619
'[14:18:19.150 18/05/1995]',-0.672,-0.374,-0.048,68.664,-0.619
'[14:18:19.152 18/05/1995]',-0.672,-0.383,-0.038,68.664,-0.623
'[14:18:19.154 18/05/1995]',-0.692,-0.383,-0.028,68.664,-0.623
'[14:18:19.156 18/05/1995]',-0.713,-0.383,-0.009,68.664,-0.623
'[14:18:19.158 18/05/1995]',-0.713,-0.374,-0.009,68.664,-0.623
'[14:18:19.160 18/05/1995]',-0.733,-0.374,0.001,68.764,-0.627
'[14:18:19.162 18/05/1995]',-0.733,-0.357,0.001,68.764,-0.627
'[14:18:19.164 18/05/1995]',-0.753,-0.357,0.001,68.764,-0.627
'[14:18:19.166 18/05/1995]',-0.733,-0.340,0.001,68.764,-0.627
'[14:18:19.168 18/05/1995]',-0.733,-0.331,0.010,68.865,-0.632
'[14:18:19.170 18/05/1995]',-0.733,-0.322,0.030,68.865,-0.632
'[14:18:19.172 18/05/1995]',-0.733,-0.305,0.040,68.865,-0.632
'[14:18:19.174 18/05/1995]',-0.733,-0.305,0.040,68.865,-0.632
'[14:18:19.176 18/05/1995]',-0.713,-0.287,0.040,68.965,-0.636
'[14:18:19.178 18/05/1995]',-0.692,-0.278,0.040,68.965,-0.636
'[14:18:19.180 18/05/1995]',-0.651,-0.270,0.040,68.965,-0.636
'[14:18:19.182 18/05/1995]',-0.610,-0.261,0.030,68.965,-0.636
'[14:18:19.184 18/05/1995]',-0.550,-0.244,0.020,69.115,-0.640
'[14:18:19.186 18/05/1995]',-0.509,-0.226,0.020,69.115,-0.640
'[14:18:19.188 18/05/1995]',-0.488,-0.200,0.020,69.115,-0.640
'[14:18:19.190 18/05/1995]',-0.427,-0.191,0.030,69.115,-0.640
'[14:18:19.192 18/05/1995]',-0.386,-0.165,0.020,69.215,-0.644
'[14:18:19.194 18/05/1995]',-0.345,-0.148,0.020,69.215,-0.644
'[14:18:19.196 18/05/1995]',-0.285,-0.130,0.010,69.215,-0.644
'[14:18:19.198 18/05/1995]',-0.244,-0.095,0.001,69.215,-0.644
'[14:18:19.200 18/05/1995]',-0.203,-0.060,0.010,69.265,-0.648
'[14:18:19.202 18/05/1995]',-0.182,-0.060,0.001,69.265,-0.648
'[14:18:19.204 18/05/1995]',-0.162,-0.052,0.010,69.265,-0.648
'[14:18:19.206 18/05/1995]',-0.121,-0.043,0.010,69.265,-0.648
'[14:18:19.208 18/05/1995]',-0.121,-0.034,0.010,69.265,-0.651
'[14:18:19.210 18/05/1995]',-0.100,-0.025,0.020,69.265,-0.651
'[14:18:19.212 18/05/1995]',-0.100,-0.025,0.010,69.265,-0.651
'[14:18:19.214 18/05/1995]',-0.080,-0.008,0.010,69.265,-0.651
'[14:18:19.216 18/05/1995]',-0.060,0.001,0.001,69.265,-0.654
'[14:18:19.218 18/05/1995]',-0.019,0.001,0.001,69.265,-0.654
'[14:18:19.220 18/05/1995]',0.002,0.018,0.001,69.265,-0.654
'[14:18:19.222 18/05/1995]',0.002,0.035,0.010,69.265,-0.654
'[14:18:19.224 18/05/1995]',0.042,0.053,0.020,69.215,-0.657
'[14:18:19.226 18/05/1995]',0.042,0.062,0.020,69.215,-0.657
'[14:18:19.228 18/05/1995]',0.062,0.079,0.020,69.215,-0.657
'[14:18:19.230 18/05/1995]',0.103,0.088,0.010,69.215,-0.657
'[14:18:19.232 18/05/1995]',0.124,0.105,0.010,69.165,-0.660
'[14:18:19.234 18/05/1995]',0.144,0.114,0.001,69.165,-0.660
'[14:18:19.236 18/05/1995]',0.165,0.123,0.010,69.165,-0.660
'[14:18:19.238 18/05/1995]',0.165,0.131,0.020,69.165,-0.660
'[14:18:19.240 18/05/1995]',0.165,0.131,0.030,69.015,-0.662
'[14:18:19.242 18/05/1995]',0.165,0.140,0.030,69.015,-0.662
'[14:18:19.244 18/05/1995]',0.165,0.131,0.020,69.015,-0.662
'[14:18:19.246 18/05/1995]',0.185,0.140,0.010,69.015,-0.662
'[14:18:19.248 18/05/1995]',0.206,0.140,0.001,68.915,-0.663
'[14:18:19.250 18/05/1995]',0.206,0.140,0.001,68.915,-0.663
'[14:18:19.252 18/05/1995]',0.226,0.149,0.010,68.915,-0.663
'[14:18:19.254 18/05/1995]',0.206,0.149,0.010,68.915,-0.663
'[14:18:19.256 18/05/1995]',0.206,0.149,0.020,68.815,-0.665
'[14:18:19.258 18/05/1995]',0.206,0.157,0.020,68.815,-0.665
'[14:18:19.260 18/05/1995]',0.206,0.166,0.030,68.815,-0.665
'[14:18:19.262 18/05/1995]',0.226,0.157,0.020,68.815,-0.665
'[14:18:19.264 18/05/1995]',0.226,0.149,0.010,68.614,-0.666
'[14:18:19.266 18/05/1995]',0.247,0.149,0.010,68.614,-0.666
'[14:18:19.268 18/05/1995]',0.247,0.149,0.001,68.614,-0.666
'[14:18:19.270 18/05/1995]',0.247,0.140,0.001,68.614,-0.666
'[14:18:19.272 18/05/1995]',0.247,0.149,0.010,68.464,-0.667
'[14:18:19.274 18/05/1995]',0.247,0.149,0.010,68.464,-0.667
'[14:18:19.276 18/05/1995]',0.247,0.140,0.010,68.464,-0.667
'[14:18:19.278 18/05/1995]',0.247,0.140,0.001,68.464,-0.667
'[14:18:19.280 18/05/1995]',0.267,0.149,0.001,68.264,-0.667
'[14:18:19.282 18/05/1995]',0.267,0.149,0.001,68.264,-0.667
'[14:18:19.284 18/05/1995]',0.267,0.149,0.001,68.264,-0.667
'[14:18:19.286 18/05/1995]',0.287,0.149,0.001,68.264,-0.667
'[14:18:19.288 18/05/1995]',0.267,0.149,0.001,67.963,-0.668
'[14:18:19.290 18/05/1995]',0.267,0.149,0.001,67.963,-0.668
'[14:18:19.292 18/05/1995]',0.267,0.149,0.001,67.963,-0.668
'[14:18:19.294 18/05/1995]',0.287,0.157,0.010,67.963,-0.668
'[14:18:19.296 18/05/1995]',0.287,0.166,0.001,67.763,-0.668
'[14:18:19.298 18/05/1995]',0.307,0.157,0.001,67.763,-0.668
'[14:18:19.300 18/05/1995]',0.307,0.149,-0.009,67.763,-0.668
'[14:18:19.302 18/05/1995]',0.307,0.140,-0.009,67.763,-0.668
'[14:18:19.304 18/05/1995]',0.307,0.140,0.001,67.512,-0.667
'[14:18:19.306 18/05/1995]',0.307,0.140,0.001,67.512,-0.667
'[14:18:19.308 18/05/1995]',0.307,0.149,0.001,67.512,-0.667
'[14:18:19.310 18/05/1995]',0.307,0.149,0.001,67.512,-0.667
'[14:18:19.312 18/05/1995]',0.307,0.149,0.001,67.212,-0.667
'[14:18:19.314 18/05/1995]',0.327,0.149,0.001,67.212,-0.667
'[14:18:19.316 18/05/1995]',0.327,0.149,-0.009,67.212,-0.667
'[14:18:19.318 18/05/1995]',0.327,0.149,-0.009,67.212,-0.667
'[14:18:19.320 18/05/1995]',0.327,0.149,-0.009,66.961,-0.666
'[14:18:19.322 18/05/1995]',0.327,0.149,0.001,66.961,-0.666
'[14:18:19.324 18/05/1995]',0.327,0.140,0.001,66.961,-0.666
'[14:18:19.326 18/05/1995]',0.327,0.140,0.001,66.961,-0.666
'[14:18:19.328 18/05/1995]',0.327,0.140,0.001,66.711,-0.666
'[14:18:19.330 18/05/1995]',0.327,0.140,0.001,66.711,-0.666
'[14:18:19.332 18/05/1995]',0.327,0.140,-0.009,66.711,-0.666
'[14:18:19.334 18/05/1995]',0.307,0.140,-0.009,66.711,-0.666
'[14:18:19.336 18/05/1995]',0.327,0.149,0.001,66.411,-0.665
'[14:18:19.338 18/05/1995]',0.307,0.149,0.001,66.411,-0.665
'[14:18:19.340 18/05/1995]',0.307,0.149,0.001,66.411,-0.665
'[14:18:19.342 18/05/1995]',0.287,0.140,0.001,66.411,-0.665
'[14:18:19.344 18/05/1995]',0.287,0.131,0.001,66.060,-0.665
'[14:18:19.346 18/05/1995]',0.307,0.131,-0.009,66.060,-0.665
'[14:18:19.348 18/05/1995]',0.307,0.131,-0.009,66.060,-0.665
'[14:18:19.350 18/05/1995]',0.307,0.131,-0.019,66.060,-0.665
'[14:18:19.352 18/05/1995]',0.307,0.131,-0.009,65.759,-0.664
'[14:18:19.354 18/05/1995]',0.307,0.131,0.001,65.759,-0.664
'[14:18:19.356 18/05/1995]',0.287,0.131,0.001,65.759,-0.664
'[14:18:19.358 18/05/1995]',0.267,0.131,0.001,65.759,-0.664
'[14:18:19.360 18/05/1995]',0.267,0.131,0.001,65.559,-0.664
'[14:18:19.362 18/05/1995]',0.247,0.123,0.001,65.559,-0.664
'[14:18:19.364 18/05/1995]',0.267,0.131,0.001,65.559,-0.664
'[14:18:19.366 18/05/1995]',0.267,0.131,0.001,65.559,-0.664
'[14:18:19.368 18/05/1995]',0.267,0.123,0.001,65.509,-0.663
'[14:18:19.370 18/05/1995]',0.247,0.123,0.001,65.509,-0.663
'[14:18:19.372 18/05/1995]',0.247,0.114,0.001,65.509,-0.663
'[14:18:19.374 18/05/1995]',0.226,0.114,0.001,65.509,-0.663
'[14:18:19.376 18/05/1995]',0.226,0.105,0.001,65.709,-0.663
'[14:18:19.378 18/05/1995]',0.206,0.097,0.001,65.709,-0.663
'[14:18:19.380 18/05/1995]',0.206,0.097,0.001,65.709,-0.663
'[14:18:19.382 18/05/1995]',0.226,0.097,0.001,65.709,-0.663
'[14:18:19.384 18/05/1995]',0.226,0.088,-0.019,66.060,-0.662
'[14:18:19.386 18/05/1995]',0.226,0.079,-0.019,66.060,-0.662
'[14:18:19.388 18/05/1995]',0.206,0.079,-0.009,66.060,-0.662
'[14:18:19.390 18/05/1995]',0.206,0.079,0.001,66.060,-0.662
'[14:18:19.392 18/05/1995]',0.185,0.070,0.001,66.711,-0.661
'[14:18:19.394 18/05/1995]',0.185,0.062,0.001,66.711,-0.661
'[14:18:19.396 18/05/1995]',0.165,0.062,-0.009,66.711,-0.661
'[14:18:19.398 18/05/1995]',0.165,0.062,-0.009,66.711,-0.661
'[14:18:19.400 18/05/1995]',0.165,0.053,-0.009,67.462,-0.660
'[14:18:19.402 18/05/1995]',0.165,0.062,-0.009,67.462,-0.660
'[14:18:19.404 18/05/1995]',0.165,0.053,-0.009,67.462,-0.660
'[14:18:19.406 18/05/1995]',0.144,0.044,-0.009,67.462,-0.660
'[14:18:19.408 18/05/1995]',0.144,0.044,0.001,68.414,-0.658
'[14:18:19.410 18/05/1995]',0.124,0.044,0.001,68.414,-0.658
'[14:18:19.412 18/05/1995]',0.124,0.044,0.001,68.414,-0.658
'[14:18:19.414 18/05/1995]',0.124,0.044,-0.009,68.414,-0.658
'[14:18:19.416 18/05/1995]',0.124,0.044,-0.009,69.265,-0.657
'[14:18:19.418 18/05/1995]',0.124,0.044,-0.009,69.265,-0.657
'[14:18:19.420 18/05/1995]',0.103,0.044,-0.009,69.265,-0.657
'[14:18:19.422 18/05/1995]',0.103,0.044,0.001,69.265,-0.657
'[14:18:19.424 18/05/1995]',0.103,0.035,0.001,70.017,-0.655
'[14:18:19.426 18/05/1995]',0.083,0.035,0.001,70.017,-0.655
'[14:18:19.428 18/05/1995]',0.083,0.035,0.001,70.017,-0.655
'[14:18:19.430 18/05/1995]',0.103,0.035,0.001,70.017,-0.655
'[14:18:19.432 18/05/1995]',0.103,0.035,-0.009,70.668,-0.653
'[14:18:19.434 18/05/1995]',0.103,0.027,-0.028,70.668,-0.653
'[14:18:19.436 18/05/1995]',0.083,0.027,-0.009,70.668,-0.653
'[14:18:19.438 18/05/1995]',0.083,0.018,-0.009,70.668,-0.653
'[14:18:19.440 18/05/1995]',0.062,0.027,-0.009,71.018,-0.650
'[14:18:19.442 18/05/1995]',0.062,0.018,0.001,71.018,-0.650
'[14:18:19.444 18/05/1995]',0.042,0.018,0.001,71.018,-0.650
'[14:18:19.446 18/05/1995]',0.042,0.018,0.001,71.018,-0.650
'[14:18:19.448 18/05/1995]',0.042,0.027,-0.009,71.068,-0.648
'[14:18:19.450 18/05/1995]',0.042,0.027,-0.009,71.068,-0.648
'[14:18:19.452 18/05/1995]',0.042,0.018,-0.009,71.068,-0.648
'[14:18:19.454 18/05/1995]',0.042,0.018,-0.009,71.068,-0.648
'[14:18:19.456 18/05/1995]',0.042,0.009,0.001,70.818,-0.645
'[14:18:19.458 18/05/1995]',0.021,0.001,0.001,70.818,-0.645
'[14:18:19.460 18/05/1995]',0.021,0.001,-0.009,70.818,-0.645
'[14:18:19.462 18/05/1995]',0.021,0.001,-0.009,70.818,-0.645
'[14:18:19.464 18/05/1995]',0.021,0.001,-0.009,70.117,-0.641
'[14:18:19.466 18/05/1995]',0.021,0.009,-0.009,70.117,-0.641
'[14:18:19.468 18/05/1995]',0.042,0.009,-0.009,70.117,-0.641
'[14:18:19.470 18/05/1995]',0.042,0.009,0.001,70.117,-0.641
'[14:18:19.472 18/05/1995]',0.021,0.009,0.001,69.115,-0.638
'[14:18:19.474 18/05/1995]',0.021,0.001,0.001,69.115,-0.638
'[14:18:19.476 18/05/1995]',0.021,0.001,0.001,69.115,-0.638
'[14:18:19.478 18/05/1995]',0.021,0.001,0.001,69.115,-0.638
'[14:18:19.480 18/05/1995]',0.021,0.009,0.001,67.913,-0.634
