'Time and date','II','MCL1','V','ABP','RESP'
'[13:00:55.674 19/05/1995]',-0.006,-0.020,-0.016,69.800,-0.528
'[13:00:55.676 19/05/1995]',-0.006,-0.030,-0.024,69.800,-0.528
'[13:00:55.678 19/05/1995]',-0.006,-0.020,-0.016,69.800,-0.528
'[13:00:55.680 19/05/1995]',-0.005,-0.020,-0.016,70.400,-0.526
'[13:00:55.682 19/05/1995]',-0.004,-0.020,-0.016,70.400,-0.526
'[13:00:55.684 19/05/1995]',-0.003,-0.020,-0.016,70.400,-0.526
'[13:00:55.686 19/05/1995]',-0.002,-0.020,-0.016,70.400,-0.526
'[13:00:55.688 19/05/1995]',-0.001,-0.020,-0.016,70.750,-0.524
'[13:00:55.690 19/05/1995]',-0.001,-0.020,-0.016,70.750,-0.524
'[13:00:55.692 19/05/1995]',0.000,-0.020,-0.016,70.750,-0.524
'[13:00:55.694 19/05/1995]',0.001,-0.009,-0.008,70.750,-0.524
'[13:00:55.696 19/05/1995]',0.001,-0.020,-0.016,70.800,-0.523
'[13:00:55.698 19/05/1995]',0.002,-0.009,-0.016,70.800,-0.523
'[13:00:55.700 19/05/1995]',0.002,-0.009,-0.016,70.800,-0.523
'[13:00:55.702 19/05/1995]',0.002,-0.009,-0.016,70.800,-0.523
'[13:00:55.704 19/05/1995]',0.002,-0.009,-0.008,70.650,-0.522
'[13:00:55.706 19/05/1995]',0.002,-0.020,-0.016,70.650,-0.522
'[13:00:55.708 19/05/1995]',0.003,-0.009,-0.016,70.650,-0.522
'[13:00:55.710 19/05/1995]',0.003,-0.009,-0.008,70.650,-0.522
'[13:00:55.712 19/05/1995]',0.004,-0.009,-0.008,70.250,-0.523
'[13:00:55.714 19/05/1995]',0.005,-0.009,-0.008,70.250,-0.523
'[13:00:55.716 19/05/1995]',0.007,-0.009,-0.008,70.250,-0.523
'[13:00:55.718 19/05/1995]',0.009,-0.009,-0.008,70.250,-0.523
'[13:00:55.720 19/05/1995]',0.012,0.001,-0.008,69.650,-0.524
'[13:00:55.722 19/05/1995]',0.014,0.001,-0.008,69.650,-0.524
'[13:00:55.724 19/05/1995]',0.017,0.001,-0.008,69.650,-0.524
'[13:00:55.726 19/05/1995]',0.019,0.001,0.001,69.650,-0.524
'[13:00:55.728 19/05/1995]',0.022,0.001,-0.008,68.950,-0.525
'[13:00:55.730 19/05/1995]',0.024,0.001,-0.008,68.950,-0.525
'[13:00:55.732 19/05/1995]',0.026,0.001,0.001,68.950,-0.525
'[13:00:55.734 19/05/1995]',0.029,0.011,0.001,68.950,-0.525
'[13:00:55.736 19/05/1995]',0.028,0.031,0.017,68.200,-0.527
'[13:00:55.738 19/05/1995]',0.026,0.052,0.051,68.200,-0.527
'[13:00:55.740 19/05/1995]',0.020,0.082,0.084,68.200,-0.527
'[13:00:55.742 19/05/1995]',0.013,0.113,0.134,68.200,-0.527
'[13:00:55.744 19/05/1995]',-0.001,0.154,0.176,67.300,-0.529
'[13:00:55.746 19/05/1995]',-0.016,0.184,0.227,67.300,-0.529
'[13:00:55.748 19/05/1995]',-0.037,0.225,0.277,67.300,-0.529
'[13:00:55.750 19/05/1995]',-0.059,0.256,0.310,67.300,-0.529
'[13:00:55.752 19/05/1995]',-0.085,0.256,0.344,66.400,-0.531
'[13:00:55.754 19/05/1995]',-0.112,0.276,0.385,66.400,-0.531
'[13:00:55.756 19/05/1995]',-0.141,0.276,0.402,66.400,-0.531
'[13:00:55.758 19/05/1995]',-0.169,0.256,0.394,66.400,-0.531
'[13:00:55.760 19/05/1995]',-0.198,0.235,0.402,65.550,-0.533
'[13:00:55.762 19/05/1995]',-0.226,0.225,0.411,65.550,-0.533
'[13:00:55.764 19/05/1995]',-0.250,0.195,0.394,65.550,-0.533
'[13:00:55.766 19/05/1995]',-0.274,0.144,0.352,65.550,-0.533
'[13:00:55.768 19/05/1995]',-0.292,0.082,0.302,64.700,-0.535
'[13:00:55.770 19/05/1995]',-0.310,0.021,0.218,64.700,-0.535
'[13:00:55.772 19/05/1995]',-0.321,-0.050,0.134,64.700,-0.535
'[13:00:55.774 19/05/1995]',-0.332,-0.142,0.026,64.700,-0.535
'[13:00:55.776 19/05/1995]',-0.332,-0.224,-0.075,63.900,-0.537
'[13:00:55.778 19/05/1995]',-0.333,-0.295,-0.158,63.900,-0.537
'[13:00:55.780 19/05/1995]',-0.323,-0.356,-0.242,63.900,-0.537
'[13:00:55.782 19/05/1995]',-0.312,-0.397,-0.292,63.900,-0.537
'[13:00:55.784 19/05/1995]',-0.293,-0.408,-0.318,63.150,-0.538
'[13:00:55.786 19/05/1995]',-0.274,-0.408,-0.334,63.150,-0.538
'[13:00:55.788 19/05/1995]',-0.249,-0.397,-0.326,63.150,-0.538
'[13:00:55.790 19/05/1995]',-0.224,-0.356,-0.309,63.150,-0.538
'[13:00:55.792 19/05/1995]',-0.196,-0.326,-0.284,62.450,-0.539
'[13:00:55.794 19/05/1995]',-0.169,-0.295,-0.250,62.450,-0.539
'[13:00:55.796 19/05/1995]',-0.142,-0.255,-0.226,62.450,-0.539
'[13:00:55.798 19/05/1995]',-0.116,-0.224,-0.200,62.450,-0.539
'[13:00:55.800 19/05/1995]',-0.093,-0.183,-0.175,61.750,-0.540
'[13:00:55.802 19/05/1995]',-0.071,-0.162,-0.158,61.750,-0.540
'[13:00:55.804 19/05/1995]',-0.053,-0.142,-0.133,61.750,-0.540
'[13:00:55.806 19/05/1995]',-0.036,-0.112,-0.117,61.750,-0.540
'[13:00:55.808 19/05/1995]',-0.023,-0.091,-0.092,61.100,-0.542
'[13:00:55.810 19/05/1995]',-0.010,-0.071,-0.083,61.100,-0.542
'[13:00:55.812 19/05/1995]',-0.001,-0.060,-0.075,61.100,-0.542
'[13:00:55.814 19/05/1995]',0.009,-0.040,-0.075,61.100,-0.542
'[13:00:55.816 19/05/1995]',0.015,-0.030,-0.066,60.450,-0.544
'[13:00:55.818 19/05/1995]',0.021,-0.030,-0.058,60.450,-0.544
'[13:00:55.820 19/05/1995]',0.026,-0.030,-0.058,60.450,-0.544
'[13:00:55.822 19/05/1995]',0.031,-0.030,-0.058,60.450,-0.544
'[13:00:55.824 19/05/1995]',0.034,-0.030,-0.058,59.800,-0.546
'[13:00:55.826 19/05/1995]',0.038,-0.020,-0.050,59.800,-0.546
'[13:00:55.828 19/05/1995]',0.040,-0.009,-0.050,59.800,-0.546
'[13:00:55.830 19/05/1995]',0.043,-0.009,-0.050,59.800,-0.546
'[13:00:55.832 19/05/1995]',0.045,0.001,-0.041,59.200,-0.548
'[13:00:55.834 19/05/1995]',0.047,0.001,-0.033,59.200,-0.548
'[13:00:55.836 19/05/1995]',0.049,0.001,-0.033,59.200,-0.548
'[13:00:55.838 19/05/1995]',0.051,0.001,-0.033,59.200,-0.548
'[13:00:55.840 19/05/1995]',0.053,0.001,-0.024,58.650,-0.551
'[13:00:55.842 19/05/1995]',0.055,0.001,-0.024,58.650,-0.551
'[13:00:55.844 19/05/1995]',0.057,0.001,-0.024,58.650,-0.551
'[13:00:55.846 19/05/1995]',0.059,0.001,-0.016,58.650,-0.551
'[13:00:55.848 19/05/1995]',0.060,0.001,-0.016,58.100,-0.554
'[13:00:55.850 19/05/1995]',0.061,0.001,-0.024,58.100,-0.554
'[13:00:55.852 19/05/1995]',0.064,0.001,-0.016,58.100,-0.554
'[13:00:55.854 19/05/1995]',0.066,0.001,-0.016,58.100,-0.554
'[13:00:55.856 19/05/1995]',0.069,0.011,-0.008,57.500,-0.558
'[13:00:55.858 19/05/1995]',0.073,0.011,-0.008,57.500,-0.558
'[13:00:55.860 19/05/1995]',0.078,0.021,0.001,57.500,-0.558
'[13:00:55.862 19/05/1995]',0.083,0.011,0.001,57.500,-0.558
'[13:00:55.864 19/05/1995]',0.088,0.031,0.001,57.050,-0.561
'[13:00:55.866 19/05/1995]',0.093,0.031,0.001,57.050,-0.561
'[13:00:55.868 19/05/1995]',0.098,0.031,0.001,57.050,-0.561
'[13:00:55.870 19/05/1995]',0.103,0.031,0.001,57.050,-0.561
'[13:00:55.872 19/05/1995]',0.108,0.031,0.001,56.650,-0.564
'[13:00:55.874 19/05/1995]',0.113,0.041,0.001,56.650,-0.564
'[13:00:55.876 19/05/1995]',0.117,0.041,0.001,56.650,-0.564
'[13:00:55.878 19/05/1995]',0.122,0.041,0.001,56.650,-0.564
'[13:00:55.880 19/05/1995]',0.124,0.052,0.001,56.300,-0.567
'[13:00:55.882 19/05/1995]',0.126,0.062,0.001,56.300,-0.567
'[13:00:55.884 19/05/1995]',0.126,0.072,0.009,56.300,-0.567
'[13:00:55.886 19/05/1995]',0.126,0.072,0.009,56.300,-0.567
'[13:00:55.888 19/05/1995]',0.125,0.072,0.017,56.000,-0.570
'[13:00:55.890 19/05/1995]',0.124,0.082,0.026,56.000,-0.570
'[13:00:55.892 19/05/1995]',0.124,0.082,0.026,56.000,-0.570
'[13:00:55.894 19/05/1995]',0.123,0.093,0.034,56.000,-0.570
'[13:00:55.896 19/05/1995]',0.122,0.093,0.042,55.800,-0.573
'[13:00:55.898 19/05/1995]',0.122,0.093,0.051,55.800,-0.573
'[13:00:55.900 19/05/1995]',0.121,0.103,0.051,55.800,-0.573
'[13:00:55.902 19/05/1995]',0.121,0.103,0.059,55.800,-0.573
'[13:00:55.904 19/05/1995]',0.120,0.103,0.059,55.800,-0.575
'[13:00:55.906 19/05/1995]',0.119,0.103,0.068,55.800,-0.575
'[13:00:55.908 19/05/1995]',0.118,0.113,0.076,55.800,-0.575
'[13:00:55.910 19/05/1995]',0.117,0.113,0.076,55.800,-0.575
'[13:00:55.912 19/05/1995]',0.115,0.134,0.076,55.950,-0.577
'[13:00:55.914 19/05/1995]',0.114,0.123,0.076,55.950,-0.577
'[13:00:55.916 19/05/1995]',0.113,0.134,0.093,55.950,-0.577
'[13:00:55.918 19/05/1995]',0.112,0.134,0.093,55.950,-0.577
'[13:00:55.920 19/05/1995]',0.112,0.144,0.101,56.400,-0.579
'[13:00:55.922 19/05/1995]',0.112,0.144,0.110,56.400,-0.579
'[13:00:55.924 19/05/1995]',0.110,0.154,0.110,56.400,-0.579
'[13:00:55.926 19/05/1995]',0.109,0.154,0.118,56.400,-0.579
'[13:00:55.928 19/05/1995]',0.108,0.154,0.118,57.550,-0.581
'[13:00:55.930 19/05/1995]',0.107,0.154,0.126,57.550,-0.581
'[13:00:55.932 19/05/1995]',0.105,0.154,0.126,57.550,-0.581
'[13:00:55.934 19/05/1995]',0.104,0.144,0.126,57.550,-0.581
'[13:00:55.936 19/05/1995]',0.103,0.144,0.126,60.100,-0.583
'[13:00:55.938 19/05/1995]',0.102,0.144,0.126,60.100,-0.583
'[13:00:55.940 19/05/1995]',0.101,0.154,0.118,60.100,-0.583
'[13:00:55.942 19/05/1995]',0.099,0.144,0.110,60.100,-0.583
'[13:00:55.944 19/05/1995]',0.097,0.144,0.118,64.450,-0.584
'[13:00:55.946 19/05/1995]',0.095,0.144,0.110,64.450,-0.584
'[13:00:55.948 19/05/1995]',0.093,0.144,0.118,64.450,-0.584
'[13:00:55.950 19/05/1995]',0.090,0.134,0.110,64.450,-0.584
'[13:00:55.952 19/05/1995]',0.088,0.134,0.110,70.850,-0.585
'[13:00:55.954 19/05/1995]',0.086,0.123,0.110,70.850,-0.585
'[13:00:55.956 19/05/1995]',0.083,0.123,0.101,70.850,-0.585
'[13:00:55.958 19/05/1995]',0.081,0.123,0.101,70.850,-0.585
'[13:00:55.960 19/05/1995]',0.078,0.123,0.093,78.850,-0.586
'[13:00:55.962 19/05/1995]',0.076,0.113,0.093,78.850,-0.586
'[13:00:55.964 19/05/1995]',0.073,0.103,0.093,78.850,-0.586
'[13:00:55.966 19/05/1995]',0.071,0.103,0.084,78.850,-0.586
'[13:00:55.968 19/05/1995]',0.069,0.103,0.084,87.200,-0.586
'[13:00:55.970 19/05/1995]',0.067,0.103,0.076,87.200,-0.586
'[13:00:55.972 19/05/1995]',0.066,0.093,0.076,87.200,-0.586
'[13:00:55.974 19/05/1995]',0.064,0.093,0.076,87.200,-0.586
'[13:00:55.976 19/05/1995]',0.063,0.082,0.076,95.000,-0.585
'[13:00:55.978 19/05/1995]',0.061,0.082,0.068,95.000,-0.585
'[13:00:55.980 19/05/1995]',0.059,0.082,0.068,95.000,-0.585
'[13:00:55.982 19/05/1995]',0.056,0.082,0.059,95.000,-0.585
'[13:00:55.984 19/05/1995]',0.054,0.072,0.059,101.650,-0.584
'[13:00:55.986 19/05/1995]',0.051,0.072,0.051,101.650,-0.584
'[13:00:55.988 19/05/1995]',0.049,0.072,0.051,101.650,-0.584
'[13:00:55.990 19/05/1995]',0.046,0.062,0.042,101.650,-0.584
'[13:00:55.992 19/05/1995]',0.045,0.052,0.042,106.900,-0.583
'[13:00:55.994 19/05/1995]',0.043,0.052,0.034,106.900,-0.583
'[13:00:55.996 19/05/1995]',0.040,0.052,0.034,106.900,-0.583
'[13:00:55.998 19/05/1995]',0.038,0.041,0.026,106.900,-0.583
'[13:00:56.000 19/05/1995]',0.036,0.041,0.026,110.900,-0.581
'[13:00:56.002 19/05/1995]',0.034,0.031,0.017,110.900,-0.581
'[13:00:56.004 19/05/1995]',0.031,0.031,0.009,110.900,-0.581
'[13:00:56.006 19/05/1995]',0.029,0.031,0.009,110.900,-0.581
'[13:00:56.008 19/05/1995]',0.028,0.021,0.009,113.600,-0.578
'[13:00:56.010 19/05/1995]',0.026,0.011,0.001,113.600,-0.578
'[13:00:56.012 19/05/1995]',0.024,0.011,0.001,113.600,-0.578
'[13:00:56.014 19/05/1995]',0.022,0.011,0.001,113.600,-0.578
'[13:00:56.016 19/05/1995]',0.021,0.011,0.001,115.000,-0.575
'[13:00:56.018 19/05/1995]',0.021,0.001,0.001,115.000,-0.575
'[13:00:56.020 19/05/1995]',0.020,0.001,0.001,115.000,-0.575
'[13:00:56.022 19/05/1995]',0.020,0.001,0.001,115.000,-0.575
'[13:00:56.024 19/05/1995]',0.019,0.001,0.001,115.300,-0.572
'[13:00:56.026 19/05/1995]',0.019,0.001,0.001,115.300,-0.572
'[13:00:56.028 19/05/1995]',0.018,0.001,-0.008,115.300,-0.572
'[13:00:56.030 19/05/1995]',0.017,0.001,-0.008,115.300,-0.572
'[13:00:56.032 19/05/1995]',0.016,0.001,-0.008,114.650,-0.570
'[13:00:56.034 19/05/1995]',0.016,-0.009,-0.008,114.650,-0.570
'[13:00:56.036 19/05/1995]',0.016,-0.009,-0.016,114.650,-0.570
'[13:00:56.038 19/05/1995]',0.016,-0.009,-0.016,114.650,-0.570
'[13:00:56.040 19/05/1995]',0.015,-0.009,-0.016,113.250,-0.568
'[13:00:56.042 19/05/1995]',0.015,-0.009,-0.016,113.250,-0.568
'[13:00:56.044 19/05/1995]',0.014,-0.009,-0.016,113.250,-0.568
'[13:00:56.046 19/05/1995]',0.014,-0.009,-0.016,113.250,-0.568
'[13:00:56.048 19/05/1995]',0.013,-0.009,-0.024,111.250,-0.566
'[13:00:56.050 19/05/1995]',0.012,-0.009,-0.016,111.250,-0.566
'[13:00:56.052 19/05/1995]',0.013,-0.009,-0.024,111.250,-0.566
'[13:00:56.054 19/05/1995]',0.013,-0.009,-0.016,111.250,-0.566
'[13:00:56.056 19/05/1995]',0.013,-0.020,-0.024,108.750,-0.563
'[13:00:56.058 19/05/1995]',0.012,-0.020,-0.024,108.750,-0.563
'[13:00:56.060 19/05/1995]',0.011,-0.020,-0.024,108.750,-0.563
'[13:00:56.062 19/05/1995]',0.011,-0.020,-0.024,108.750,-0.563
'[13:00:56.064 19/05/1995]',0.010,-0.020,-0.024,105.850,-0.560
'[13:00:56.066 19/05/1995]',0.010,-0.030,-0.033,105.850,-0.560
'[13:00:56.068 19/05/1995]',0.010,-0.030,-0.033,105.850,-0.560
'[13:00:56.070 19/05/1995]',0.010,-0.030,-0.033,105.850,-0.560
'[13:00:56.072 19/05/1995]',0.010,-0.020,-0.024,102.650,-0.557
'[13:00:56.074 19/05/1995]',0.010,-0.020,-0.033,102.650,-0.557
'[13:00:56.076 19/05/1995]',0.010,-0.020,-0.024,102.650,-0.557
'[13:00:56.078 19/05/1995]',0.009,-0.020,-0.024,102.650,-0.557
'[13:00:56.080 19/05/1995]',0.008,-0.020,-0.024,99.050,-0.554
'[13:00:56.082 19/05/1995]',0.007,-0.020,-0.033,99.050,-0.554
'[13:00:56.084 19/05/1995]',0.006,-0.020,-0.033,99.050,-0.554
'[13:00:56.086 19/05/1995]',0.005,-0.030,-0.033,99.050,-0.554
'[13:00:56.088 19/05/1995]',0.005,-0.020,-0.033,95.050,-0.550
'[13:00:56.090 19/05/1995]',0.004,-0.030,-0.033,95.050,-0.550
'[13:00:56.092 19/05/1995]',0.005,-0.030,-0.033,95.050,-0.550
'[13:00:56.094 19/05/1995]',0.006,-0.030,-0.033,95.050,-0.550
'[13:00:56.096 19/05/1995]',0.006,-0.030,-0.041,90.700,-0.545
'[13:00:56.098 19/05/1995]',0.007,-0.030,-0.041,90.700,-0.545
'[13:00:56.100 19/05/1995]',0.008,-0.030,-0.041,90.700,-0.545
'[13:00:56.102 19/05/1995]',0.009,-0.030,-0.033,90.700,-0.545
'[13:00:56.104 19/05/1995]',0.009,-0.020,-0.033,85.950,-0.540
'[13:00:56.106 19/05/1995]',0.010,-0.020,-0.024,85.950,-0.540
'[13:00:56.108 19/05/1995]',0.011,-0.009,-0.016,85.950,-0.540
'[13:00:56.110 19/05/1995]',0.011,-0.009,-0.016,85.950,-0.540
'[13:00:56.112 19/05/1995]',0.013,-0.009,-0.016,81.200,-0.535
'[13:00:56.114 19/05/1995]',0.014,-0.020,-0.016,81.200,-0.535
'[13:00:56.116 19/05/1995]',0.016,-0.020,-0.024,81.200,-0.535
'[13:00:56.118 19/05/1995]',0.019,-0.020,-0.024,81.200,-0.535
'[13:00:56.120 19/05/1995]',0.022,-0.020,-0.016,76.800,-0.529
'[13:00:56.122 19/05/1995]',0.024,-0.009,-0.008,76.800,-0.529
'[13:00:56.124 19/05/1995]',0.026,0.001,0.001,76.800,-0.529
'[13:00:56.126 19/05/1995]',0.027,0.031,0.026,76.800,-0.529
'[13:00:56.128 19/05/1995]',0.023,0.062,0.068,73.100,-0.522
'[13:00:56.130 19/05/1995]',0.019,0.093,0.093,73.100,-0.522
'[13:00:56.132 19/05/1995]',0.005,0.134,0.143,73.100,-0.522
'[13:00:56.134 19/05/1995]',-0.008,0.164,0.185,73.100,-0.522
'[13:00:56.136 19/05/1995]',-0.029,0.184,0.218,70.350,-0.515
'[13:00:56.138 19/05/1995]',-0.049,0.195,0.243,70.350,-0.515
'[13:00:56.140 19/05/1995]',-0.076,0.205,0.260,70.350,-0.515
'[13:00:56.142 19/05/1995]',-0.103,0.205,0.277,70.350,-0.515
'[13:00:56.144 19/05/1995]',-0.133,0.184,0.277,68.800,-0.508
'[13:00:56.146 19/05/1995]',-0.163,0.184,0.285,68.800,-0.508
'[13:00:56.148 19/05/1995]',-0.191,0.184,0.310,68.800,-0.508
'[13:00:56.150 19/05/1995]',-0.220,0.195,0.335,68.800,-0.508
'[13:00:56.152 19/05/1995]',-0.243,0.184,0.360,68.300,-0.499
'[13:00:56.154 19/05/1995]',-0.267,0.174,0.352,68.300,-0.499
'[13:00:56.156 19/05/1995]',-0.285,0.134,0.327,68.300,-0.499
'[13:00:56.158 19/05/1995]',-0.302,0.082,0.294,68.300,-0.499
'[13:00:56.160 19/05/1995]',-0.312,0.041,0.243,68.450,-0.490
'[13:00:56.162 19/05/1995]',-0.321,0.001,0.168,68.450,-0.490
'[13:00:56.164 19/05/1995]',-0.322,-0.091,0.068,68.450,-0.490
'[13:00:56.166 19/05/1995]',-0.323,-0.173,-0.033,68.450,-0.490
'[13:00:56.168 19/05/1995]',-0.315,-0.255,-0.133,69.050,-0.479
'[13:00:56.170 19/05/1995]',-0.307,-0.326,-0.217,69.050,-0.479
'[13:00:56.172 19/05/1995]',-0.292,-0.377,-0.284,69.050,-0.479
'[13:00:56.174 19/05/1995]',-0.277,-0.408,-0.318,69.050,-0.479
'[13:00:56.176 19/05/1995]',-0.256,-0.408,-0.343,69.800,-0.469
'[13:00:56.178 19/05/1995]',-0.236,-0.408,-0.343,69.800,-0.469
'[13:00:56.180 19/05/1995]',-0.212,-0.387,-0.334,69.800,-0.469
'[13:00:56.182 19/05/1995]',-0.189,-0.356,-0.318,69.800,-0.469
'[13:00:56.184 19/05/1995]',-0.164,-0.336,-0.309,70.650,-0.457
'[13:00:56.186 19/05/1995]',-0.139,-0.295,-0.267,70.650,-0.457
'[13:00:56.188 19/05/1995]',-0.116,-0.265,-0.242,70.650,-0.457
'[13:00:56.190 19/05/1995]',-0.093,-0.224,-0.209,70.650,-0.457
'[13:00:56.192 19/05/1995]',-0.073,-0.193,-0.184,71.350,-0.446
'[13:00:56.194 19/05/1995]',-0.054,-0.162,-0.150,71.350,-0.446
'[13:00:56.196 19/05/1995]',-0.038,-0.132,-0.133,71.350,-0.446
'[13:00:56.198 19/05/1995]',-0.021,-0.101,-0.108,71.350,-0.446
'[13:00:56.200 19/05/1995]',-0.010,-0.081,-0.083,71.950,-0.433
'[13:00:56.202 19/05/1995]',0.002,-0.071,-0.075,71.950,-0.433
'[13:00:56.204 19/05/1995]',0.010,-0.050,-0.066,71.950,-0.433
'[13:00:56.206 19/05/1995]',0.018,-0.030,-0.066,71.950,-0.433
'[13:00:56.208 19/05/1995]',0.023,-0.030,-0.058,72.350,-0.421
'[13:00:56.210 19/05/1995]',0.029,-0.030,-0.050,72.350,-0.421
'[13:00:56.212 19/05/1995]',0.032,-0.020,-0.041,72.350,-0.421
'[13:00:56.214 19/05/1995]',0.036,-0.020,-0.041,72.350,-0.421
'[13:00:56.216 19/05/1995]',0.039,0.001,-0.033,72.450,-0.410
'[13:00:56.218 19/05/1995]',0.043,0.001,-0.033,72.450,-0.410
'[13:00:56.220 19/05/1995]',0.046,0.001,-0.024,72.450,-0.410
'[13:00:56.222 19/05/1995]',0.049,0.001,-0.016,72.450,-0.410
'[13:00:56.224 19/05/1995]',0.052,0.001,-0.016,72.350,-0.399
'[13:00:56.226 19/05/1995]',0.056,0.001,-0.008,72.350,-0.399
'[13:00:56.228 19/05/1995]',0.059,0.011,-0.016,72.350,-0.399
'[13:00:56.230 19/05/1995]',0.061,0.001,-0.016,72.350,-0.399
'[13:00:56.232 19/05/1995]',0.064,0.011,-0.008,72.050,-0.388
'[13:00:56.234 19/05/1995]',0.066,0.021,-0.008,72.050,-0.388
'[13:00:56.236 19/05/1995]',0.068,0.021,0.001,72.050,-0.388
'[13:00:56.238 19/05/1995]',0.069,0.021,0.001,72.050,-0.388
'[13:00:56.240 19/05/1995]',0.072,0.031,0.001,71.600,-0.377
'[13:00:56.242 19/05/1995]',0.074,0.031,0.001,71.600,-0.377
'[13:00:56.244 19/05/1995]',0.075,0.031,0.001,71.600,-0.377
'[13:00:56.246 19/05/1995]',0.077,0.041,0.001,71.600,-0.377
'[13:00:56.248 19/05/1995]',0.078,0.041,0.001,70.950,-0.365
'[13:00:56.250 19/05/1995]',0.079,0.052,0.009,70.950,-0.365
'[13:00:56.252 19/05/1995]',0.082,0.052,0.009,70.950,-0.365
'[13:00:56.254 19/05/1995]',0.084,0.052,0.009,70.950,-0.365
'[13:00:56.256 19/05/1995]',0.088,0.052,0.017,70.100,-0.355
'[13:00:56.258 19/05/1995]',0.091,0.062,0.017,70.100,-0.355
'[13:00:56.260 19/05/1995]',0.094,0.062,0.026,70.100,-0.355
'[13:00:56.262 19/05/1995]',0.097,0.072,0.026,70.100,-0.355
'[13:00:56.264 19/05/1995]',0.100,0.072,0.034,69.150,-0.344
'[13:00:56.266 19/05/1995]',0.104,0.082,0.034,69.150,-0.344
'[13:00:56.268 19/05/1995]',0.108,0.093,0.042,69.150,-0.344
'[13:00:56.270 19/05/1995]',0.112,0.093,0.051,69.150,-0.344
'[13:00:56.272 19/05/1995]',0.115,0.103,0.051,68.300,-0.334
'[13:00:56.274 19/05/1995]',0.119,0.103,0.059,68.300,-0.334
'[13:00:56.276 19/05/1995]',0.123,0.103,0.068,68.300,-0.334
'[13:00:56.278 19/05/1995]',0.127,0.113,0.068,68.300,-0.334
'[13:00:56.280 19/05/1995]',0.131,0.113,0.076,67.350,-0.324
'[13:00:56.282 19/05/1995]',0.135,0.123,0.076,67.350,-0.324
'[13:00:56.284 19/05/1995]',0.139,0.134,0.076,67.350,-0.324
'[13:00:56.286 19/05/1995]',0.142,0.144,0.084,67.350,-0.324
'[13:00:56.288 19/05/1995]',0.145,0.134,0.084,66.400,-0.314
'[13:00:56.290 19/05/1995]',0.147,0.144,0.093,66.400,-0.314
'[13:00:56.292 19/05/1995]',0.150,0.144,0.093,66.400,-0.314
'[13:00:56.294 19/05/1995]',0.152,0.144,0.093,66.400,-0.314
'[13:00:56.296 19/05/1995]',0.153,0.154,0.101,65.500,-0.303
'[13:00:56.298 19/05/1995]',0.154,0.154,0.101,65.500,-0.303
'[13:00:56.300 19/05/1995]',0.154,0.164,0.110,65.500,-0.303
'[13:00:56.302 19/05/1995]',0.154,0.164,0.110,65.500,-0.303
'[13:00:56.304 19/05/1995]',0.154,0.164,0.118,64.550,-0.294
'[13:00:56.306 19/05/1995]',0.154,0.164,0.118,64.550,-0.294
'[13:00:56.308 19/05/1995]',0.152,0.174,0.118,64.550,-0.294
'[13:00:56.310 19/05/1995]',0.151,0.174,0.126,64.550,-0.294
'[13:00:56.312 19/05/1995]',0.148,0.174,0.126,63.600,-0.285
'[13:00:56.314 19/05/1995]',0.146,0.164,0.126,63.600,-0.285
'[13:00:56.316 19/05/1995]',0.143,0.174,0.126,63.600,-0.285
'[13:00:56.318 19/05/1995]',0.141,0.164,0.126,63.600,-0.285
'[13:00:56.320 19/05/1995]',0.138,0.164,0.118,62.800,-0.278
'[13:00:56.322 19/05/1995]',0.135,0.164,0.126,62.800,-0.278
'[13:00:56.324 19/05/1995]',0.132,0.154,0.118,62.800,-0.278
'[13:00:56.326 19/05/1995]',0.129,0.144,0.118,62.800,-0.278
'[13:00:56.328 19/05/1995]',0.127,0.154,0.118,62.050,-0.271
'[13:00:56.330 19/05/1995]',0.124,0.154,0.110,62.050,-0.271
'[13:00:56.332 19/05/1995]',0.121,0.144,0.110,62.050,-0.271
'[13:00:56.334 19/05/1995]',0.119,0.144,0.101,62.050,-0.271
'[13:00:56.336 19/05/1995]',0.116,0.144,0.101,61.550,-0.264
'[13:00:56.338 19/05/1995]',0.113,0.144,0.101,61.550,-0.264
'[13:00:56.340 19/05/1995]',0.110,0.134,0.093,61.550,-0.264
'[13:00:56.342 19/05/1995]',0.107,0.123,0.093,61.550,-0.264
'[13:00:56.344 19/05/1995]',0.103,0.123,0.093,61.300,-0.257
'[13:00:56.346 19/05/1995]',0.099,0.113,0.093,61.300,-0.257
'[13:00:56.348 19/05/1995]',0.096,0.113,0.084,61.300,-0.257
'[13:00:56.350 19/05/1995]',0.093,0.113,0.076,61.300,-0.257
'[13:00:56.352 19/05/1995]',0.090,0.103,0.076,61.500,-0.248
'[13:00:56.354 19/05/1995]',0.087,0.103,0.076,61.500,-0.248
'[13:00:56.356 19/05/1995]',0.083,0.093,0.068,61.500,-0.248
'[13:00:56.358 19/05/1995]',0.079,0.082,0.051,61.500,-0.248
'[13:00:56.360 19/05/1995]',0.075,0.082,0.051,62.100,-0.240
'[13:00:56.362 19/05/1995]',0.072,0.072,0.042,62.100,-0.240
'[13:00:56.364 19/05/1995]',0.069,0.072,0.042,62.100,-0.240
'[13:00:56.366 19/05/1995]',0.066,0.072,0.042,62.100,-0.240
'[13:00:56.368 19/05/1995]',0.064,0.072,0.042,63.200,-0.232
'[13:00:56.370 19/05/1995]',0.061,0.072,0.034,63.200,-0.232
