'Time and date','aVR','II','V','ABP','PLETH','RESP'
'[09:10:32.562 26/12/1995]',0.024,-0.030,-0.006,88.197,0.141,-0.397
'[09:10:32.564 26/12/1995]',0.023,-0.037,-0.013,88.197,0.141,-0.397
'[09:10:32.566 26/12/1995]',0.023,-0.037,-0.006,88.197,0.141,-0.397
'[09:10:32.568 26/12/1995]',0.022,-0.022,-0.006,86.494,0.167,-0.395
'[09:10:32.570 26/12/1995]',0.022,-0.030,-0.006,86.494,0.167,-0.395
'[09:10:32.572 26/12/1995]',0.020,-0.030,-0.006,86.494,0.167,-0.395
'[09:10:32.574 26/12/1995]',0.019,-0.030,-0.006,86.494,0.167,-0.395
'[09:10:32.576 26/12/1995]',0.018,-0.030,-0.013,84.491,0.202,-0.393
'[09:10:32.578 26/12/1995]',0.017,-0.030,-0.006,84.491,0.202,-0.393
'[09:10:32.580 26/12/1995]',0.017,-0.030,-0.013,84.491,0.202,-0.393
'[09:10:32.582 26/12/1995]',0.016,-0.030,-0.006,84.491,0.202,-0.393
'[09:10:32.584 26/12/1995]',0.017,-0.030,-0.013,82.287,0.218,-0.394
'[09:10:32.586 26/12/1995]',0.018,-0.022,-0.013,82.287,0.218,-0.394
'[09:10:32.588 26/12/1995]',0.020,-0.015,-0.013,82.287,0.218,-0.394
'[09:10:32.590 26/12/1995]',0.022,-0.015,-0.006,82.287,0.218,-0.394
'[09:10:32.592 26/12/1995]',0.023,-0.015,-0.013,79.833,0.232,-0.396
'[09:10:32.594 26/12/1995]',0.024,-0.015,-0.006,79.833,0.232,-0.396
'[09:10:32.596 26/12/1995]',0.025,-0.022,-0.006,79.833,0.232,-0.396
'[09:10:32.598 26/12/1995]',0.025,-0.037,-0.006,79.833,0.232,-0.396
'[09:10:32.600 26/12/1995]',0.024,-0.045,0.001,77.179,0.244,-0.400
'[09:10:32.602 26/12/1995]',0.022,-0.037,-0.006,77.179,0.244,-0.400
'[09:10:32.604 26/12/1995]',0.021,-0.022,-0.006,77.179,0.244,-0.400
'[09:10:32.606 26/12/1995]',0.019,-0.007,-0.013,77.179,0.244,-0.400
'[09:10:32.608 26/12/1995]',0.018,-0.007,-0.006,74.524,0.253,-0.405
'[09:10:32.610 26/12/1995]',0.016,-0.015,-0.013,74.524,0.253,-0.405
'[09:10:32.612 26/12/1995]',0.014,-0.015,-0.013,74.524,0.253,-0.405
'[09:10:32.614 26/12/1995]',0.013,-0.015,-0.013,74.524,0.253,-0.405
'[09:10:32.616 26/12/1995]',0.012,-0.015,-0.006,71.970,0.257,-0.407
'[09:10:32.618 26/12/1995]',0.011,-0.022,-0.006,71.970,0.257,-0.407
'[09:10:32.620 26/12/1995]',0.010,-0.015,-0.013,71.970,0.257,-0.407
'[09:10:32.622 26/12/1995]',0.010,-0.007,-0.013,71.970,0.257,-0.407
'[09:10:32.624 26/12/1995]',0.010,-0.007,-0.013,69.566,0.253,-0.409
'[09:10:32.626 26/12/1995]',0.010,-0.007,-0.013,69.566,0.253,-0.409
'[09:10:32.628 26/12/1995]',0.011,-0.007,-0.013,69.566,0.253,-0.409
'[09:10:32.630 26/12/1995]',0.012,-0.015,-0.013,69.566,0.253,-0.409
'[09:10:32.632 26/12/1995]',0.013,-0.007,-0.013,67.362,0.244,-0.411
'[09:10:32.634 26/12/1995]',0.015,-0.022,-0.013,67.362,0.244,-0.411
'[09:10:32.636 26/12/1995]',0.016,-0.022,-0.006,67.362,0.244,-0.411
'[09:10:32.638 26/12/1995]',0.018,-0.022,-0.013,67.362,0.244,-0.411
'[09:10:32.640 26/12/1995]',0.019,-0.015,-0.013,65.459,0.235,-0.413
'[09:10:32.642 26/12/1995]',0.021,-0.015,-0.013,65.459,0.235,-0.413
'[09:10:32.644 26/12/1995]',0.021,-0.022,-0.013,65.459,0.235,-0.413
'[09:10:32.646 26/12/1995]',0.021,-0.022,-0.013,65.459,0.235,-0.413
'[09:10:32.648 26/12/1995]',0.021,-0.022,-0.013,63.756,0.214,-0.417
'[09:10:32.650 26/12/1995]',0.021,-0.015,-0.013,63.756,0.214,-0.417
'[09:10:32.652 26/12/1995]',0.021,-0.015,-0.006,63.756,0.214,-0.417
'[09:10:32.654 26/12/1995]',0.021,-0.015,-0.006,63.756,0.214,-0.417
'[09:10:32.656 26/12/1995]',0.020,-0.022,-0.006,62.204,0.205,-0.424
'[09:10:32.658 26/12/1995]',0.020,-0.022,-0.006,62.204,0.205,-0.424
'[09:10:32.660 26/12/1995]',0.019,-0.022,-0.013,62.204,0.205,-0.424
'[09:10:32.662 26/12/1995]',0.019,-0.030,-0.013,62.204,0.205,-0.424
'[09:10:32.664 26/12/1995]',0.018,-0.030,0.001,61.002,0.184,-0.432
'[09:10:32.666 26/12/1995]',0.018,-0.037,-0.006,61.002,0.184,-0.432
'[09:10:32.668 26/12/1995]',0.017,-0.030,-0.006,61.002,0.184,-0.432
'[09:10:32.670 26/12/1995]',0.017,-0.022,-0.006,61.002,0.184,-0.432
'[09:10:32.672 26/12/1995]',0.016,-0.015,-0.013,59.900,0.167,-0.441
'[09:10:32.674 26/12/1995]',0.015,-0.015,-0.006,59.900,0.167,-0.441
'[09:10:32.676 26/12/1995]',0.015,-0.022,-0.013,59.900,0.167,-0.441
'[09:10:32.678 26/12/1995]',0.015,-0.022,-0.006,59.900,0.167,-0.441
'[09:10:32.680 26/12/1995]',0.015,-0.030,-0.013,59.098,0.150,-0.450
'[09:10:32.682 26/12/1995]',0.015,-0.022,-0.006,59.098,0.150,-0.450
'[09:10:32.684 26/12/1995]',0.014,-0.022,-0.006,59.098,0.150,-0.450
'[09:10:32.686 26/12/1995]',0.014,-0.015,-0.006,59.098,0.150,-0.450
'[09:10:32.688 26/12/1995]',0.014,-0.015,-0.006,58.447,0.129,-0.460
'[09:10:32.690 26/12/1995]',0.014,-0.015,-0.006,58.447,0.129,-0.460
'[09:10:32.692 26/12/1995]',0.014,-0.015,-0.006,58.447,0.129,-0.460
'[09:10:32.694 26/12/1995]',0.014,-0.022,-0.006,58.447,0.129,-0.460
'[09:10:32.696 26/12/1995]',0.015,-0.015,-0.006,57.997,0.107,-0.469
'[09:10:32.698 26/12/1995]',0.016,-0.022,-0.006,57.997,0.107,-0.469
'[09:10:32.700 26/12/1995]',0.018,-0.022,-0.006,57.997,0.107,-0.469
'[09:10:32.702 26/12/1995]',0.019,-0.022,-0.006,57.997,0.107,-0.469
'[09:10:32.704 26/12/1995]',0.021,-0.022,-0.006,57.646,0.090,-0.477
'[09:10:32.706 26/12/1995]',0.022,-0.015,-0.006,57.646,0.090,-0.477
'[09:10:32.708 26/12/1995]',0.023,-0.022,-0.006,57.646,0.090,-0.477
'[09:10:32.710 26/12/1995]',0.023,-0.030,-0.006,57.646,0.090,-0.477
'[09:10:32.712 26/12/1995]',0.023,-0.037,-0.006,57.295,0.069,-0.484
'[09:10:32.714 26/12/1995]',0.022,-0.030,-0.006,57.295,0.069,-0.484
'[09:10:32.716 26/12/1995]',0.021,-0.030,-0.006,57.295,0.069,-0.484
'[09:10:32.718 26/12/1995]',0.021,-0.022,-0.006,57.295,0.069,-0.484
'[09:10:32.720 26/12/1995]',0.019,-0.015,-0.006,56.945,0.051,-0.490
'[09:10:32.722 26/12/1995]',0.017,-0.015,-0.006,56.945,0.051,-0.490
'[09:10:32.724 26/12/1995]',0.016,-0.015,-0.006,56.945,0.051,-0.490
'[09:10:32.726 26/12/1995]',0.015,-0.022,-0.006,56.945,0.051,-0.490
'[09:10:32.728 26/12/1995]',0.013,-0.030,-0.006,56.594,0.030,-0.494
'[09:10:32.730 26/12/1995]',0.012,-0.015,-0.006,56.594,0.030,-0.494
'[09:10:32.732 26/12/1995]',0.010,-0.007,-0.006,56.594,0.030,-0.494
'[09:10:32.734 26/12/1995]',0.009,0.008,-0.006,56.594,0.030,-0.494
'[09:10:32.736 26/12/1995]',0.007,0.008,-0.013,56.294,0.013,-0.497
'[09:10:32.738 26/12/1995]',0.005,0.001,-0.020,56.294,0.013,-0.497
'[09:10:32.740 26/12/1995]',0.005,0.001,-0.020,56.294,0.013,-0.497
'[09:10:32.742 26/12/1995]',0.004,-0.007,-0.020,56.294,0.013,-0.497
'[09:10:32.744 26/12/1995]',0.005,-0.015,-0.020,56.043,-0.009,-0.501
'[09:10:32.746 26/12/1995]',0.006,-0.022,-0.027,56.043,-0.009,-0.501
'[09:10:32.748 26/12/1995]',0.009,-0.015,-0.027,56.043,-0.009,-0.501
'[09:10:32.750 26/12/1995]',0.012,0.001,-0.033,56.043,-0.009,-0.501
'[09:10:32.752 26/12/1995]',0.018,0.016,-0.033,55.793,-0.021,-0.504
'[09:10:32.754 26/12/1995]',0.024,0.023,-0.047,55.793,-0.021,-0.504
'[09:10:32.756 26/12/1995]',0.033,0.008,-0.054,55.793,-0.021,-0.504
'[09:10:32.758 26/12/1995]',0.043,0.001,-0.047,55.793,-0.021,-0.504
'[09:10:32.760 26/12/1995]',0.054,-0.015,-0.047,55.593,-0.043,-0.508
'[09:10:32.762 26/12/1995]',0.066,-0.037,-0.033,55.593,-0.043,-0.508
'[09:10:32.764 26/12/1995]',0.079,-0.068,-0.027,55.593,-0.043,-0.508
'[09:10:32.766 26/12/1995]',0.092,-0.083,-0.020,55.593,-0.043,-0.508
'[09:10:32.768 26/12/1995]',0.105,-0.098,-0.013,55.292,-0.060,-0.512
'[09:10:32.770 26/12/1995]',0.118,-0.113,-0.006,55.292,-0.060,-0.512
'[09:10:32.772 26/12/1995]',0.131,-0.143,0.001,55.292,-0.060,-0.512
'[09:10:32.774 26/12/1995]',0.143,-0.143,0.007,55.292,-0.060,-0.512
'[09:10:32.776 26/12/1995]',0.155,-0.166,0.021,55.042,-0.086,-0.516
'[09:10:32.778 26/12/1995]',0.166,-0.189,0.034,55.042,-0.086,-0.516
'[09:10:32.780 26/12/1995]',0.177,-0.212,0.048,55.042,-0.086,-0.516
'[09:10:32.782 26/12/1995]',0.187,-0.219,0.055,55.042,-0.086,-0.516
'[09:10:32.784 26/12/1995]',0.197,-0.234,0.068,54.691,-0.107,-0.520
'[09:10:32.786 26/12/1995]',0.207,-0.242,0.075,54.691,-0.107,-0.520
'[09:10:32.788 26/12/1995]',0.215,-0.272,0.096,54.691,-0.107,-0.520
'[09:10:32.790 26/12/1995]',0.223,-0.295,0.102,54.691,-0.107,-0.520
'[09:10:32.792 26/12/1995]',0.226,-0.318,0.129,54.391,-0.129,-0.524
'[09:10:32.794 26/12/1995]',0.230,-0.340,0.136,54.391,-0.129,-0.524
'[09:10:32.796 26/12/1995]',0.227,-0.363,0.143,54.391,-0.129,-0.524
'[09:10:32.798 26/12/1995]',0.225,-0.371,0.150,54.391,-0.129,-0.524
'[09:10:32.800 26/12/1995]',0.219,-0.371,0.143,54.040,-0.145,-0.528
'[09:10:32.802 26/12/1995]',0.212,-0.363,0.150,54.040,-0.145,-0.528
'[09:10:32.804 26/12/1995]',0.203,-0.340,0.136,54.040,-0.145,-0.528
'[09:10:32.806 26/12/1995]',0.194,-0.310,0.116,54.040,-0.145,-0.528
'[09:10:32.808 26/12/1995]',0.185,-0.303,0.116,53.689,-0.171,-0.530
'[09:10:32.810 26/12/1995]',0.176,-0.303,0.109,53.689,-0.171,-0.530
'[09:10:32.812 26/12/1995]',0.167,-0.287,0.109,53.689,-0.171,-0.530
'[09:10:32.814 26/12/1995]',0.159,-0.280,0.102,53.689,-0.171,-0.530
'[09:10:32.816 26/12/1995]',0.151,-0.272,0.102,53.289,-0.189,-0.532
'[09:10:32.818 26/12/1995]',0.143,-0.257,0.096,53.289,-0.189,-0.532
'[09:10:32.820 26/12/1995]',0.135,-0.242,0.089,53.289,-0.189,-0.532
'[09:10:32.822 26/12/1995]',0.126,-0.227,0.075,53.289,-0.189,-0.532
'[09:10:32.824 26/12/1995]',0.116,-0.212,0.075,52.888,-0.218,-0.532
'[09:10:32.826 26/12/1995]',0.106,-0.204,0.062,52.888,-0.218,-0.532
'[09:10:32.828 26/12/1995]',0.095,-0.189,0.055,52.888,-0.218,-0.532
'[09:10:32.830 26/12/1995]',0.084,-0.174,0.048,52.888,-0.218,-0.532
'[09:10:32.832 26/12/1995]',0.073,-0.159,0.034,52.537,-0.239,-0.532
'[09:10:32.834 26/12/1995]',0.063,-0.136,0.021,52.537,-0.239,-0.532
'[09:10:32.836 26/12/1995]',0.055,-0.113,0.021,52.537,-0.239,-0.532
'[09:10:32.838 26/12/1995]',0.046,-0.091,0.014,52.537,-0.239,-0.532
'[09:10:32.840 26/12/1995]',0.040,-0.075,0.007,52.187,-0.261,-0.533
'[09:10:32.842 26/12/1995]',0.033,-0.053,0.007,52.187,-0.261,-0.533
'[09:10:32.844 26/12/1995]',0.029,-0.037,0.001,52.187,-0.261,-0.533
'[09:10:32.846 26/12/1995]',0.025,-0.030,0.001,52.187,-0.261,-0.533
'[09:10:32.848 26/12/1995]',0.023,-0.030,-0.006,51.836,-0.282,-0.534
'[09:10:32.850 26/12/1995]',0.020,-0.022,-0.006,51.836,-0.282,-0.534
'[09:10:32.852 26/12/1995]',0.017,-0.022,-0.006,51.836,-0.282,-0.534
'[09:10:32.854 26/12/1995]',0.015,-0.007,-0.013,51.836,-0.282,-0.534
'[09:10:32.856 26/12/1995]',0.011,-0.007,-0.013,51.536,-0.308,-0.536
'[09:10:32.858 26/12/1995]',0.008,-0.007,-0.013,51.536,-0.308,-0.536
'[09:10:32.860 26/12/1995]',0.005,-0.007,-0.020,51.536,-0.308,-0.536
'[09:10:32.862 26/12/1995]',0.003,0.001,-0.020,51.536,-0.308,-0.536
'[09:10:32.864 26/12/1995]',0.001,0.001,-0.027,51.235,-0.334,-0.537
'[09:10:32.866 26/12/1995]',-0.001,0.001,-0.020,51.235,-0.334,-0.537
'[09:10:32.868 26/12/1995]',-0.002,0.008,-0.027,51.235,-0.334,-0.537
'[09:10:32.870 26/12/1995]',-0.004,0.031,-0.027,51.235,-0.334,-0.537
'[09:10:32.872 26/12/1995]',-0.004,0.038,-0.027,50.935,-0.364,-0.539
'[09:10:32.874 26/12/1995]',-0.005,0.038,-0.033,50.935,-0.364,-0.539
'[09:10:32.876 26/12/1995]',-0.005,0.031,-0.027,50.935,-0.364,-0.539
'[09:10:32.878 26/12/1995]',-0.006,0.031,-0.027,50.935,-0.364,-0.539
'[09:10:32.880 26/12/1995]',-0.006,0.031,-0.027,50.785,-0.390,-0.540
'[09:10:32.882 26/12/1995]',-0.006,0.023,-0.027,50.785,-0.390,-0.540
'[09:10:32.884 26/12/1995]',-0.008,0.023,-0.027,50.785,-0.390,-0.540
'[09:10:32.886 26/12/1995]',-0.009,0.023,-0.027,50.785,-0.390,-0.540
'[09:10:32.888 26/12/1995]',-0.009,0.023,-0.020,50.584,-0.415,-0.541
'[09:10:32.890 26/12/1995]',-0.010,0.023,-0.027,50.584,-0.415,-0.541
'[09:10:32.892 26/12/1995]',-0.010,0.031,-0.027,50.584,-0.415,-0.541
'[09:10:32.894 26/12/1995]',-0.011,0.031,-0.027,50.584,-0.415,-0.541
'[09:10:32.896 26/12/1995]',-0.011,0.031,-0.027,50.334,-0.397,-0.541
'[09:10:32.898 26/12/1995]',-0.011,0.031,-0.020,50.334,-0.397,-0.541
'[09:10:32.900 26/12/1995]',-0.011,0.023,-0.020,50.334,-0.397,-0.541
'[09:10:32.902 26/12/1995]',-0.010,0.031,-0.020,50.334,-0.397,-0.541
'[09:10:32.904 26/12/1995]',-0.010,0.031,-0.020,50.133,-0.417,-0.541
'[09:10:32.906 26/12/1995]',-0.010,0.023,-0.020,50.133,-0.417,-0.541
'[09:10:32.908 26/12/1995]',-0.010,0.023,-0.020,50.133,-0.417,-0.541
'[09:10:32.910 26/12/1995]',-0.010,0.016,-0.020,50.133,-0.417,-0.541
'[09:10:32.912 26/12/1995]',-0.011,0.016,-0.020,49.883,-0.438,-0.540
'[09:10:32.914 26/12/1995]',-0.011,0.023,-0.020,49.883,-0.438,-0.540
'[09:10:32.916 26/12/1995]',-0.012,0.031,-0.020,49.883,-0.438,-0.540
'[09:10:32.918 26/12/1995]',-0.014,0.038,-0.020,49.883,-0.438,-0.540
'[09:10:32.920 26/12/1995]',-0.014,0.046,-0.020,49.733,-0.455,-0.539
'[09:10:32.922 26/12/1995]',-0.015,0.038,-0.027,49.733,-0.455,-0.539
'[09:10:32.924 26/12/1995]',-0.015,0.031,-0.020,49.733,-0.455,-0.539
'[09:10:32.926 26/12/1995]',-0.016,0.023,-0.013,49.733,-0.455,-0.539
'[09:10:32.928 26/12/1995]',-0.017,0.031,-0.020,49.883,-0.474,-0.537
'[09:10:32.930 26/12/1995]',-0.018,0.046,-0.020,49.883,-0.474,-0.537
'[09:10:32.932 26/12/1995]',-0.020,0.054,-0.020,49.883,-0.474,-0.537
'[09:10:32.934 26/12/1995]',-0.022,0.054,-0.027,49.883,-0.474,-0.537
'[09:10:32.936 26/12/1995]',-0.025,0.069,-0.020,50.684,-0.483,-0.534
'[09:10:32.938 26/12/1995]',-0.028,0.069,-0.027,50.684,-0.483,-0.534
'[09:10:32.940 26/12/1995]',-0.029,0.069,-0.027,50.684,-0.483,-0.534
'[09:10:32.942 26/12/1995]',-0.031,0.069,-0.027,50.684,-0.483,-0.534
'[09:10:32.944 26/12/1995]',-0.032,0.069,-0.027,52.337,-0.495,-0.530
'[09:10:32.946 26/12/1995]',-0.032,0.076,-0.027,52.337,-0.495,-0.530
'[09:10:32.948 26/12/1995]',-0.032,0.076,-0.027,52.337,-0.495,-0.530
'[09:10:32.950 26/12/1995]',-0.031,0.076,-0.020,52.337,-0.495,-0.530
'[09:10:32.952 26/12/1995]',-0.029,0.076,-0.020,54.941,-0.495,-0.525
'[09:10:32.954 26/12/1995]',-0.027,0.069,-0.027,54.941,-0.495,-0.525
'[09:10:32.956 26/12/1995]',-0.025,0.069,-0.027,54.941,-0.495,-0.525
'[09:10:32.958 26/12/1995]',-0.024,0.069,-0.020,54.941,-0.495,-0.525
'[09:10:32.960 26/12/1995]',-0.024,0.069,-0.020,58.397,-0.495,-0.520
'[09:10:32.962 26/12/1995]',-0.023,0.069,-0.027,58.397,-0.495,-0.520
'[09:10:32.964 26/12/1995]',-0.024,0.076,-0.027,58.397,-0.495,-0.520
'[09:10:32.966 26/12/1995]',-0.025,0.069,-0.027,58.397,-0.495,-0.520
'[09:10:32.968 26/12/1995]',-0.026,0.069,-0.020,62.504,-0.491,-0.514
'[09:10:32.970 26/12/1995]',-0.028,0.069,-0.027,62.504,-0.491,-0.514
'[09:10:32.972 26/12/1995]',-0.029,0.076,-0.027,62.504,-0.491,-0.514
'[09:10:32.974 26/12/1995]',-0.031,0.076,-0.027,62.504,-0.491,-0.514
'[09:10:32.976 26/12/1995]',-0.031,0.076,-0.027,66.961,-0.470,-0.507
'[09:10:32.978 26/12/1995]',-0.032,0.076,-0.033,66.961,-0.470,-0.507
'[09:10:32.980 26/12/1995]',-0.031,0.076,-0.033,66.961,-0.470,-0.507
'[09:10:32.982 26/12/1995]',-0.031,0.076,-0.033,66.961,-0.470,-0.507
'[09:10:32.984 26/12/1995]',-0.029,0.069,-0.033,71.619,-0.446,-0.500
'[09:10:32.986 26/12/1995]',-0.026,0.069,-0.033,71.619,-0.446,-0.500
'[09:10:32.988 26/12/1995]',-0.023,0.069,-0.027,71.619,-0.446,-0.500
'[09:10:32.990 26/12/1995]',-0.019,0.054,-0.033,71.619,-0.446,-0.500
'[09:10:32.992 26/12/1995]',-0.016,0.054,-0.033,76.077,-0.409,-0.494
'[09:10:32.994 26/12/1995]',-0.013,0.038,-0.027,76.077,-0.409,-0.494
'[09:10:32.996 26/12/1995]',-0.011,0.046,-0.027,76.077,-0.409,-0.494
'[09:10:32.998 26/12/1995]',-0.010,0.031,-0.027,76.077,-0.409,-0.494
'[09:10:33.000 26/12/1995]',-0.009,0.031,-0.027,80.234,-0.368,-0.488
'[09:10:33.002 26/12/1995]',-0.008,0.031,-0.027,80.234,-0.368,-0.488
'[09:10:33.004 26/12/1995]',-0.008,0.031,-0.020,80.234,-0.368,-0.488
'[09:10:33.006 26/12/1995]',-0.008,0.031,-0.027,80.234,-0.368,-0.488
'[09:10:33.008 26/12/1995]',-0.007,0.031,-0.027,83.940,-0.324,-0.483
'[09:10:33.010 26/12/1995]',-0.007,0.031,-0.027,83.940,-0.324,-0.483
'[09:10:33.012 26/12/1995]',-0.006,0.031,-0.027,83.940,-0.324,-0.483
'[09:10:33.014 26/12/1995]',-0.004,0.023,-0.027,83.940,-0.324,-0.483
'[09:10:33.016 26/12/1995]',-0.003,0.031,-0.027,87.095,-0.270,-0.479
'[09:10:33.018 26/12/1995]',-0.001,0.023,-0.027,87.095,-0.270,-0.479
'[09:10:33.020 26/12/1995]',0.001,0.023,-0.027,87.095,-0.270,-0.479
'[09:10:33.022 26/12/1995]',0.002,0.016,-0.027,87.095,-0.270,-0.479
'[09:10:33.024 26/12/1995]',0.003,0.016,-0.027,89.599,-0.212,-0.475
'[09:10:33.026 26/12/1995]',0.004,0.001,-0.020,89.599,-0.212,-0.475
'[09:10:33.028 26/12/1995]',0.005,-0.007,-0.020,89.599,-0.212,-0.475
'[09:10:33.030 26/12/1995]',0.006,-0.007,-0.013,89.599,-0.212,-0.475
'[09:10:33.032 26/12/1995]',0.007,-0.007,-0.020,91.603,-0.155,-0.472
'[09:10:33.034 26/12/1995]',0.008,-0.007,-0.020,91.603,-0.155,-0.472
'[09:10:33.036 26/12/1995]',0.009,0.001,-0.020,91.603,-0.155,-0.472
'[09:10:33.038 26/12/1995]',0.010,0.008,-0.020,91.603,-0.155,-0.472
'[09:10:33.040 26/12/1995]',0.010,0.001,-0.020,92.955,-0.090,-0.469
'[09:10:33.042 26/12/1995]',0.011,-0.007,-0.020,92.955,-0.090,-0.469
'[09:10:33.044 26/12/1995]',0.011,-0.007,-0.020,92.955,-0.090,-0.469
'[09:10:33.046 26/12/1995]',0.012,-0.007,-0.013,92.955,-0.090,-0.469
'[09:10:33.048 26/12/1995]',0.013,-0.015,-0.013,93.856,-0.033,-0.467
'[09:10:33.050 26/12/1995]',0.014,-0.015,-0.013,93.856,-0.033,-0.467
'[09:10:33.052 26/12/1995]',0.015,-0.007,-0.013,93.856,-0.033,-0.467
'[09:10:33.054 26/12/1995]',0.016,-0.015,-0.013,93.856,-0.033,-0.467
'[09:10:33.056 26/12/1995]',0.017,-0.015,-0.013,94.257,0.029,-0.465
'[09:10:33.058 26/12/1995]',0.018,-0.022,-0.013,94.257,0.029,-0.465
'[09:10:33.060 26/12/1995]',0.019,-0.022,-0.006,94.257,0.029,-0.465
'[09:10:33.062 26/12/1995]',0.020,-0.030,-0.013,94.257,0.029,-0.465
'[09:10:33.064 26/12/1995]',0.021,-0.022,-0.013,94.207,0.078,-0.463
'[09:10:33.066 26/12/1995]',0.022,-0.022,-0.013,94.207,0.078,-0.463
'[09:10:33.068 26/12/1995]',0.023,-0.015,-0.013,94.207,0.078,-0.463
'[09:10:33.070 26/12/1995]',0.024,-0.022,-0.006,94.207,0.078,-0.463
'[09:10:33.072 26/12/1995]',0.025,-0.022,-0.006,93.856,0.135,-0.461
'[09:10:33.074 26/12/1995]',0.025,-0.022,-0.013,93.856,0.135,-0.461
'[09:10:33.076 26/12/1995]',0.025,-0.022,-0.006,93.856,0.135,-0.461
'[09:10:33.078 26/12/1995]',0.025,-0.030,-0.006,93.856,0.135,-0.461
'[09:10:33.080 26/12/1995]',0.025,-0.030,-0.006,93.105,0.184,-0.460
'[09:10:33.082 26/12/1995]',0.024,-0.030,-0.006,93.105,0.184,-0.460
'[09:10:33.084 26/12/1995]',0.023,-0.022,-0.006,93.105,0.184,-0.460
'[09:10:33.086 26/12/1995]',0.023,-0.022,-0.006,93.105,0.184,-0.460
'[09:10:33.088 26/12/1995]',0.022,-0.022,-0.006,92.003,0.234,-0.458
'[09:10:33.090 26/12/1995]',0.022,-0.022,-0.013,92.003,0.234,-0.458
'[09:10:33.092 26/12/1995]',0.020,-0.030,-0.006,92.003,0.234,-0.458
'[09:10:33.094 26/12/1995]',0.019,-0.030,-0.013,92.003,0.234,-0.458
'[09:10:33.096 26/12/1995]',0.018,-0.030,-0.006,90.701,0.266,-0.457
'[09:10:33.098 26/12/1995]',0.017,-0.030,-0.006,90.701,0.266,-0.457
'[09:10:33.100 26/12/1995]',0.016,-0.030,-0.006,90.701,0.266,-0.457
'[09:10:33.102 26/12/1995]',0.015,-0.022,-0.013,90.701,0.266,-0.457
'[09:10:33.104 26/12/1995]',0.015,-0.022,-0.013,89.098,0.307,-0.455
'[09:10:33.106 26/12/1995]',0.014,-0.022,-0.013,89.098,0.307,-0.455
'[09:10:33.108 26/12/1995]',0.014,-0.022,-0.013,89.098,0.307,-0.455
'[09:10:33.110 26/12/1995]',0.014,-0.022,-0.013,89.098,0.307,-0.455
'[09:10:33.112 26/12/1995]',0.015,-0.022,-0.006,87.195,0.336,-0.452
'[09:10:33.114 26/12/1995]',0.015,-0.015,-0.006,87.195,0.336,-0.452
'[09:10:33.116 26/12/1995]',0.016,-0.007,-0.006,87.195,0.336,-0.452
'[09:10:33.118 26/12/1995]',0.016,-0.015,-0.006,87.195,0.336,-0.452
'[09:10:33.120 26/12/1995]',0.017,-0.015,-0.006,85.042,0.356,-0.450
'[09:10:33.122 26/12/1995]',0.017,-0.022,-0.013,85.042,0.356,-0.450
'[09:10:33.124 26/12/1995]',0.018,-0.030,-0.013,85.042,0.356,-0.450
'[09:10:33.126 26/12/1995]',0.018,-0.037,-0.013,85.042,0.356,-0.450
'[09:10:33.128 26/12/1995]',0.018,-0.030,-0.013,82.638,0.372,-0.449
'[09:10:33.130 26/12/1995]',0.017,-0.022,-0.013,82.638,0.372,-0.449
'[09:10:33.132 26/12/1995]',0.016,-0.022,-0.013,82.638,0.372,-0.449
'[09:10:33.134 26/12/1995]',0.016,-0.015,-0.013,82.638,0.372,-0.449
'[09:10:33.136 26/12/1995]',0.016,-0.015,-0.013,80.033,0.385,-0.448
'[09:10:33.138 26/12/1995]',0.016,-0.022,-0.006,80.033,0.385,-0.448
'[09:10:33.140 26/12/1995]',0.015,-0.022,-0.006,80.033,0.385,-0.448
'[09:10:33.142 26/12/1995]',0.015,-0.022,-0.006,80.033,0.385,-0.448
'[09:10:33.144 26/12/1995]',0.015,-0.007,-0.013,77.279,0.397,-0.448
'[09:10:33.146 26/12/1995]',0.014,-0.007,-0.013,77.279,0.397,-0.448
'[09:10:33.148 26/12/1995]',0.014,-0.015,-0.013,77.279,0.397,-0.448
'[09:10:33.150 26/12/1995]',0.014,-0.015,-0.013,77.279,0.397,-0.448
'[09:10:33.152 26/12/1995]',0.013,-0.022,-0.006,74.574,0.402,-0.449
'[09:10:33.154 26/12/1995]',0.013,-0.030,-0.006,74.574,0.402,-0.449
'[09:10:33.156 26/12/1995]',0.012,-0.015,-0.006,74.574,0.402,-0.449
'[09:10:33.158 26/12/1995]',0.011,-0.015,-0.013,74.574,0.402,-0.449
'[09:10:33.160 26/12/1995]',0.011,-0.015,-0.013,71.970,0.397,-0.449
'[09:10:33.162 26/12/1995]',0.010,-0.015,-0.013,71.970,0.397,-0.449
'[09:10:33.164 26/12/1995]',0.010,-0.015,-0.013,71.970,0.397,-0.449
'[09:10:33.166 26/12/1995]',0.009,-0.007,-0.013,71.970,0.397,-0.449
'[09:10:33.168 26/12/1995]',0.009,-0.007,-0.013,69.616,0.389,-0.450
'[09:10:33.170 26/12/1995]',0.010,-0.007,-0.013,69.616,0.389,-0.450
'[09:10:33.172 26/12/1995]',0.010,-0.007,-0.013,69.616,0.389,-0.450
'[09:10:33.174 26/12/1995]',0.011,-0.015,-0.013,69.616,0.389,-0.450
'[09:10:33.176 26/12/1995]',0.012,-0.007,-0.013,67.512,0.377,-0.450
